"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"300","2017-2018","880770","Cornerstone Montessori Prep School - Don","Elem/Sec",37,32,NA,NA,37,32,208088
"301","2017-2018","875376","Cornerstone Preparatory - Main","Elem/Sec",28,23,17,16,45,39,208088
"302","2017-2018","884921","Country Echoes Parochial School","Elementary",5,5,NA,NA,5,5,208088
"303","2017-2018","877425","Country Garden Montessori Academy","Elem/Sec",40,26,11,19,51,45,208088
"304","2017-2018","889741","Countryside Christian School","Elem/Sec",82,50,22,16,104,66,208088
"305","2017-2018","876550","Countryside Montessori Private School","Elementary",48,48,NA,NA,48,48,208088
"306","2017-2018","667731","Courtland Old Colony Christian School","Elementary",44,56,NA,NA,44,56,208088
"307","2017-2018","889318","Covenant Christian School","Elementary",59,70,NA,NA,59,70,208088
"308","2017-2018","884804","Covenant Christian School","Elementary",112,107,NA,NA,112,107,208088
"309","2017-2018","882947","Crawford Adventist Academy (East Campus)","Elementary",33,37,NA,NA,33,37,208088
"310","2017-2018","887293","Crawford Adventist Academy High School","Elem/Sec",106,112,57,53,163,165,208088
"311","2017-2018","880809","Credo Christian School","Elementary",16,18,NA,NA,16,18,208088
"312","2017-2018","878405","Creek Bank Parochial","Elementary",5,5,NA,NA,5,5,208088
"313","2017-2018","887161","Crescent School, The","Elem/Sec",357,NA,426,NA,783,NA,208088
"314","2017-2018","665266","Crestwood Preparatory College Inc.","Elem/Sec",88,35,241,163,329,198,208088
"315","2017-2018","881570","Crestwood School","Elementary",172,126,NA,NA,172,126,208088
"316","2017-2018","881305","Croton Christian Day School","Elementary",14,13,NA,NA,14,13,208088
"317","2017-2018","882866","Crown Academic International School","Secondary",NA,NA,26,21,26,21,208088
"318","2017-2018","668728","Dalton School, The","Elementary",31,32,NA,NA,31,32,208088
"319","2017-2018","889900","Darul Arqam Islamic Academy","Elementary",5,5,NA,NA,5,5,208088
"320","2017-2018","880921","Darul-Uloom Canada - Chatham","Elem/Sec",28,14,12,NA,40,14,208088
"321","2017-2018","668888","Darwin International Academy","Secondary",NA,NA,5,5,5,5,208088
"322","2017-2018","886320","Dayspring Christian School","Elem/Sec",20,19,5,5,NA,NA,208088
"323","2017-2018","886939","De La Salle College","Elem/Sec",91,110,220,233,311,343,208088
"324","2017-2018","666168","Dearcroft Montessori School","Elementary",68,76,NA,NA,68,76,208088
"325","2017-2018","666890","Debbie Campbell Learning Academy","Secondary",NA,NA,5,5,5,5,208088
"326","2017-2018","663344","Deer Lake First Nations","Elem/Sec",NA,NA,5,5,5,5,208088
"327","2017-2018","884533","Delano Academy","Elementary",31,13,NA,NA,31,13,208088
"328","2017-2018","879037","Delia School of Canada","Secondary",NA,NA,142,132,142,132,208088
"329","2017-2018","667072","Delores D. Echum Composite","Elem/Sec",NA,NA,49,50,49,50,208088
"330","2017-2018","667561","Delta Academy Inc","Secondary",NA,NA,40,89,40,89,208088
"331","2017-2018","663921","Dennis Franklin Cromarty High School","Secondary",NA,NA,38,53,38,53,208088
"332","2017-2018","669640","Deran Academy","Secondary",NA,NA,5,13,5,13,208088
"333","2017-2018","882606","Destiny Christian Academy","Elementary",24,25,NA,NA,24,25,208088
"334","2017-2018","666130","Deutsche Schule Toronto","Elementary",34,23,NA,NA,34,23,208088
"335","2017-2018","668563","Dewey College","Elem/Sec",5,5,22,12,NA,NA,208088
"336","2017-2018","882268","Diponte Academy","Secondary",NA,NA,5,NA,5,NA,208088
"337","2017-2018","884239","Discipleship Christian Secondary","Secondary",NA,NA,14,18,14,18,208088
"338","2017-2018","886754","Discovering Minds Montessori Preschool I","Elementary",19,22,NA,NA,19,22,208088
"339","2017-2018","884964","Discovery Academy Inc","Elem/Sec",26,28,108,81,134,109,208088
"340","2017-2018","666270","Don Valley Academy","Secondary",NA,NA,44,36,44,36,208088
"341","2017-2018","877166","Donegal Community Christian School","Elem/Sec",33,41,5,5,NA,NA,208088
"342","2017-2018","665274","Dragon Academy, The","Elem/Sec",11,5,30,11,41,NA,208088
"343","2017-2018","884553","Dresden Private Mennonite School","Elementary",103,88,NA,NA,103,88,208088
"344","2017-2018","887714","Dufferin Area Christian School","Elementary",57,59,NA,NA,57,59,208088
"345","2017-2018","884263","Duke Academy","Secondary",NA,NA,20,12,20,12,208088
"346","2017-2018","887951","Dunblaine School, The","Elementary",22,11,NA,NA,22,11,208088
"347","2017-2018","667206","Duncan Academy, The","Secondary",NA,NA,39,27,39,27,208088
"348","2017-2018","669699","Dundas Valley Montessori School","Elementary",56,57,NA,NA,56,57,208088
"349","2017-2018","888575","Dunnville Christian Private Elementary","Elementary",96,61,NA,NA,96,61,208088
"350","2017-2018","880448","Durham Academy","Secondary",NA,NA,5,5,5,5,208088
"351","2017-2018","887544","Durham Christian High School","Secondary",NA,NA,44,50,44,50,208088
"352","2017-2018","668038","Durham Elementary Private School","Elementary",43,36,NA,NA,43,36,208088
"353","2017-2018","884452","ELPIS COLLEGE TORONTO","Secondary",NA,NA,22,26,22,26,208088
"354","2017-2018","885122","ETON Academy","Secondary",NA,NA,16,10,16,10,208088
"355","2017-2018","885597","Eagles' Nest Christian Academy","Elem/Sec",5,5,5,NA,5,5,208088
"356","2017-2018","665297","Early Years Education System","Elementary",5,5,NA,NA,5,5,208088
"357","2017-2018","885860","East Dorking Parochial School","Elementary",21,19,NA,NA,21,19,208088
"358","2017-2018","887560","East Heidelberg Parochial School","Elementary",17,17,NA,NA,17,17,208088
"359","2017-2018","882251","Eastern Canada High School","Elem/Sec",NA,NA,13,17,13,17,208088
"360","2017-2018","886130","Eben-Ezer Christian School","Elementary",16,19,NA,NA,16,19,208088
"361","2017-2018","884292","Eben-ezer Christian School","Elem/Sec",11,5,5,5,NA,12,208088
"362","2017-2018","668010","Edelweiss Private Academy","Elementary",11,5,NA,NA,11,5,208088
"363","2017-2018","883964","Edge Hill Country School","Elementary",20,21,NA,NA,20,21,208088
"364","2017-2018","663492","Eenchokay Birchstick","Elem/Sec",NA,NA,82,62,82,62,208088
"365","2017-2018","887234","Eitz Chaim Schools - Patricia School","Elementary",374,444,NA,NA,374,444,208088
"366","2017-2018","667085","Elite Academic School","Secondary",NA,NA,5,11,5,11,208088
"367","2017-2018","669234","Elite Academy","Secondary",NA,NA,5,5,5,5,208088
"368","2017-2018","889246","Elite Montessori School","Elementary",20,16,NA,NA,20,16,208088
"369","2017-2018","666327","Ellesmere Montessori School Inc","Elementary",24,26,NA,NA,24,26,208088
"370","2017-2018","875562","Ellington Montessori School","Elementary",31,35,NA,NA,31,35,208088
"371","2017-2018","876593","Elm Creek Parochial School","Elementary",26,15,NA,NA,26,15,208088
"372","2017-2018","665568","Elmira North Parochial School","Elementary",14,15,NA,NA,14,15,208088
"373","2017-2018","886300","Elmwood School","Elem/Sec",NA,204,NA,153,NA,357,208088
"374","2017-2018","881651","Elora Road Christian School","Elementary",49,51,NA,NA,49,51,208088
"375","2017-2018","881900","Elpis College","Secondary",NA,NA,12,5,12,5,208088
"376","2017-2018","885897","Elton Academy","Secondary",NA,NA,22,22,22,22,208088
"377","2017-2018","667463","Emmanuel Christian Academy","Elementary",13,20,NA,NA,13,20,208088
"378","2017-2018","889776","Emmanuel Christian High School","Secondary",NA,NA,87,100,87,100,208088
"379","2017-2018","665827","English for International Communication","Elementary",5,5,NA,NA,5,5,208088
"380","2017-2018","889027","Erudite School","Elementary",5,5,NA,NA,5,5,208088
"381","2017-2018","875821","Ethnos Academy","Elem/Sec",18,12,5,5,NA,NA,208088
"382","2017-2018","881135","Eureka Montessori","Elementary",5,5,NA,NA,5,5,208088
"383","2017-2018","668651","Everest Academy","Elem/Sec",83,5,122,25,205,NA,208088
"384","2017-2018","669311","Excel High School","Secondary",NA,NA,17,5,17,5,208088
"385","2017-2018","665835","Exceptional Learning Centre","Elementary",5,5,NA,NA,5,5,208088
"386","2017-2018","669529","FH International High School","Secondary",NA,NA,5,5,5,5,208088
"387","2017-2018","888800","Fair Haven Christian Day School","Elem/Sec",41,42,5,5,NA,NA,208088
"388","2017-2018","667608","Fairbanks Parochial School","Elementary",5,11,NA,NA,5,11,208088
"389","2017-2018","888990","Fairview Amish Private School","Elementary",10,10,NA,NA,10,10,208088
"390","2017-2018","665812","Fairview Amish School","Elementary",14,5,NA,NA,14,5,208088
"391","2017-2018","668711","Fairview Glen Montessori","Elementary",36,42,NA,NA,36,42,208088
"392","2017-2018","882224","Faith Christian Academy","Elementary",67,68,NA,NA,67,68,208088
"393","2017-2018","889423","Faithway Baptist Church School","Elem/Sec",28,23,13,18,41,41,208088
"394","2017-2018","888931","Farewell Parochial School","Elementary",23,15,NA,NA,23,15,208088
"395","2017-2018","888664","Fellowship Christian School","Elementary",41,51,NA,NA,41,51,208088
"396","2017-2018","882178","Fern Hill","Elem/Sec",231,165,16,14,247,179,208088
"397","2017-2018","882353","Fern Hill - Burlington","Elem/Sec",85,94,5,5,NA,NA,208088
"398","2017-2018","876046","Fern Hill School","Elementary",81,58,NA,NA,81,58,208088
"399","2017-2018","883638","Fernbank Parochial School","Elementary",13,22,NA,NA,13,22,208088
"400","2017-2018","878057","Fieldstone Day School","Elementary",38,20,NA,NA,38,20,208088
"401","2017-2018","885377","Fieldstone King's College School","Secondary",NA,NA,105,60,105,60,208088
"402","2017-2018","877123","First Lutheran Christian Academy","Elementary",58,30,NA,NA,58,30,208088
"403","2017-2018","885622","Floradale Parochial School","Elementary",17,14,NA,NA,17,14,208088
"404","2017-2018","882430","Forest Hill Academy","Secondary",NA,NA,NA,5,NA,5,208088
"405","2017-2018","668055","Forest Hill Montessori School","Elementary",38,35,NA,NA,38,35,208088
"406","2017-2018","669733","Foundation Christian School","Elementary",58,37,NA,NA,58,37,208088
"407","2017-2018","669576","Foundations Montessori School","Elementary",5,5,NA,NA,5,5,208088
"408","2017-2018","668218","Four Corners Amish School","Elementary",17,17,NA,NA,17,17,208088
"409","2017-2018","877700","Four Winds Montessori School Inc.","Elementary",13,5,NA,NA,13,5,208088
"410","2017-2018","888320","Fourth Peel Parochial","Elementary",20,13,NA,NA,20,13,208088
"411","2017-2018","663048","Francine J. Wesley Secondary School","Elem/Sec",NA,NA,107,89,107,89,208088
"412","2017-2018","883086","Friendship Amish School","Elementary",15,15,NA,NA,15,15,208088
"413","2017-2018","669256","Fulford Academy","Elem/Sec",5,5,27,16,NA,NA,208088
"414","2017-2018","669447","Fulford Preparatory College","Secondary",NA,NA,25,10,25,10,208088
"415","2017-2018","883210","Fullbright Academy","Secondary",NA,NA,35,16,35,16,208088
"416","2017-2018","665356","Future School","Secondary",NA,NA,83,57,83,57,208088
"417","2017-2018","881670","Futureskills Chatham","Secondary",NA,NA,5,NA,5,NA,208088
"418","2017-2018","877786","Gap Academy","Elem/Sec",5,NA,NA,NA,5,NA,208088
"419","2017-2018","887036","Georgian Heights School","Elem/Sec",11,5,5,NA,NA,5,208088
"420","2017-2018","669627","Gibraltar Leadership Academy","Secondary",NA,NA,34,39,34,39,208088
"421","2017-2018","884820","Giles School, The","Elementary",54,59,NA,NA,54,59,208088
"422","2017-2018","883093","Glad Tidings Christian School","Elem/Sec",23,23,5,5,NA,NA,208088
"423","2017-2018","877840","Glebe Montessori School","Elementary",56,53,NA,NA,56,53,208088
"424","2017-2018","882158","Glen Briar Academy","Elementary",18,11,NA,NA,18,11,208088
"425","2017-2018","875066","Glen Meyer Old Colony School","Elementary",61,68,NA,NA,61,68,208088
"426","2017-2018","669460","GlenOak Academy","Elementary",5,5,NA,NA,5,5,208088
"427","2017-2018","883476","Glenburnie School Inc","Elementary",79,63,NA,NA,79,63,208088
"428","2017-2018","668436","Glencedar Montessori Private School","Elementary",52,46,NA,NA,52,46,208088
"429","2017-2018","669800","Glenlee Parochial School","Elementary",23,14,NA,NA,23,14,208088
"430","2017-2018","886485","Glenn Arbour Academy","Elementary",69,42,NA,NA,69,42,208088
"431","2017-2018","883977","Global Education Academy","Secondary",NA,NA,5,NA,5,NA,208088
"432","2017-2018","883502","Global Village Toronto International Aca","Secondary",NA,NA,5,5,5,5,208088
"433","2017-2018","884989","Gobind Sarvar Brampton","Elem/Sec",123,110,11,5,134,NA,208088
"434","2017-2018","665994","Goldenlink Academy","Secondary",NA,NA,5,10,5,10,208088
"435","2017-2018","885614","Goldstone Parochial School","Elementary",23,24,NA,NA,23,24,208088
"436","2017-2018","665533","Goodwin Learning Centre","Elementary",25,5,NA,NA,25,5,208088
"437","2017-2018","665206","Gospel Light Christian School","Elem/Sec",11,5,NA,5,11,5,208088
"438","2017-2018","884243","Grace Christian School","Elementary",95,93,NA,NA,95,93,208088
"439","2017-2018","668497","Gradale Academy","Elementary",14,5,NA,NA,14,5,208088
"440","2017-2018","887704","Grade Learning - Etobicoke","Secondary",NA,NA,11,5,11,5,208088
"441","2017-2018","665579","Grade Learning - Toronto Central","Secondary",NA,NA,5,5,5,5,208088
"442","2017-2018","665068","Grade Learning Newmarket","Secondary",NA,NA,5,5,5,5,208088
"443","2017-2018","885533","Grandview Adventist Academy","Elementary",34,39,NA,NA,34,39,208088
"444","2017-2018","885118","Great Lakes Christian High School","Secondary",NA,NA,83,58,83,58,208088
"445","2017-2018","889920","Great Lakes College of Toronto, The","Secondary",NA,NA,158,118,158,118,208088
"446","2017-2018","669151","Great Lyn International Academy","Secondary",NA,NA,5,5,5,5,208088
"447","2017-2018","669200","Great Moose Adventures","Elementary",10,5,NA,NA,10,5,208088
"448","2017-2018","668641","Green Apple Alternative School","Secondary",NA,NA,5,10,5,10,208088
"449","2017-2018","666793","Green High School","Secondary",NA,NA,46,34,46,34,208088
"450","2017-2018","882279","Green Path Academy Online","Secondary",NA,NA,5,5,5,5,208088
"451","2017-2018","666717","Green Road High School","Secondary",NA,NA,5,11,5,11,208088
"452","2017-2018","877891","Greenock Amish Parochial School","Elementary",10,5,NA,NA,10,5,208088
"453","2017-2018","666289","Greenwood College School","Elem/Sec",71,60,170,170,241,230,208088
"454","2017-2018","665009","Gregory School for Exceptional Learning","Elem/Sec",11,5,5,NA,NA,5,208088
"455","2017-2018","885452","Guelph Community Christian School","Elementary",129,105,NA,NA,129,105,208088
"456","2017-2018","877093","Guelph Montessori School","Elementary",28,25,NA,NA,28,25,208088
"457","2017-2018","665464","Guelph Outdoor Preschool Ltd.","Elementary",5,5,NA,NA,5,5,208088
"458","2017-2018","665671","Guiding Light Academy","Elementary",23,27,NA,NA,23,27,208088
"459","2017-2018","889164","Guido de Bres Christian High School","Secondary",NA,NA,204,197,204,197,208088
"460","2017-2018","667115","Guru Tegh Bahadur International School","Elem/Sec",68,46,25,15,93,61,208088
"461","2017-2018","885398","Halton Hills Christian School","Elementary",171,130,NA,NA,171,130,208088
"462","2017-2018","883700","Halton Waldorf School","Elementary",83,87,NA,NA,83,87,208088
"463","2017-2018","885060","Hamilton Academy of Performing Arts","Elem/Sec",5,10,5,13,5,23,208088
"464","2017-2018","885541","Hamilton District Christian Private Scho","Secondary",NA,NA,226,231,226,231,208088
"465","2017-2018","884101","Hamilton Downtown Islamic School","Elementary",19,24,NA,NA,19,24,208088
"466","2017-2018","885550","Hamilton Hebrew Academy Zichron Meir","Elementary",66,55,NA,NA,66,55,208088
"467","2017-2018","883788","Hamilton Hebrew High","Secondary",NA,NA,5,5,5,5,208088
"468","2017-2018","665843","Hanson International Academy","Secondary",NA,NA,5,10,5,10,208088
"469","2017-2018","884596","Harwood Montessori School Inc","Elementary",17,14,NA,NA,17,14,208088
"470","2017-2018","884685","Hatch House Montessori","Elementary",11,27,NA,NA,11,27,208088
"471","2017-2018","887242","Havergal College","Elem/Sec",NA,458,NA,522,NA,980,208088
"472","2017-2018","884863","Hawthorn School for Girls","Elem/Sec",NA,65,NA,34,NA,99,208088
"473","2017-2018","889971","Headwater Hills Montessori School","Elementary",17,11,NA,NA,17,11,208088
"474","2017-2018","884186","Headwaters Academy","Elementary",10,5,NA,NA,10,5,208088
"475","2017-2018","876500","Heritage Academy","Elem/Sec",42,14,43,5,85,NA,208088
"476","2017-2018","880078","Heritage Christian Academy","Elem/Sec",39,39,5,13,NA,52,208088
"477","2017-2018","875864","Heritage Christian School","Elem/Sec",234,244,82,81,316,325,208088
"478","2017-2018","880272","Heritage Christian School","Elementary",32,33,NA,NA,32,33,208088
"479","2017-2018","885053","Heritage Community Christian School","Elementary",29,35,NA,NA,29,35,208088
"480","2017-2018","668493","Heritage International School","Elem/Sec",5,5,11,15,NA,NA,208088
"481","2017-2018","881112","Hidden Valley Amish Private School","Elementary",16,12,NA,NA,16,12,208088
"482","2017-2018","886601","High Five Academy for Learning","Elementary",15,27,NA,NA,15,27,208088
"483","2017-2018","665192","High Park Day School","Elementary",14,10,NA,NA,14,10,208088
"484","2017-2018","880833","High Park Gardens Montessori School","Elementary",43,43,NA,NA,43,43,208088
"485","2017-2018","668650","Higher Marks Educational Institute","Elem/Sec",14,10,5,5,NA,NA,208088
"486","2017-2018","882713","Highland Academy of Canada","Secondary",NA,NA,17,13,17,13,208088
